Rk,G,Playoffs,Series,Tm,Opp,G#,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Year
159,1,2005-04-24,EC1,MIA,NJN,1,1,32:09:00,7,13,0.538,0,0,,3,9,0.333,1,10,11,0,0,0,1,3,17,9.8,2005
160,2,2005-04-26,EC1,MIA,NJN,2,1,26:41:00,4,9,0.444,0,0,,6,11,0.545,1,9,10,4,0,1,2,4,14,10.6,2005
161,3,2005-04-28,EC1,MIA,NJN,3,1,46:26:00,8,19,0.421,0,0,,9,15,0.6,1,5,6,3,0,1,3,5,25,12.5,2005
162,4,2005-05-01,EC1,MIA,NJN,4,1,27:02:00,7,14,0.5,0,0,,3,6,0.5,1,7,8,3,1,1,6,4,17,7.8,2005
163,5,2005-05-08,ECS,MIA,WAS,1,1,24:31:00,8,12,0.667,0,0,,3,8,0.375,3,4,7,1,2,0,4,6,19,11.4,2005
164,6,2005-05-10,ECS,MIA,WAS,2,1,36:55:00,6,11,0.545,0,0,,4,8,0.5,1,6,7,2,0,2,3,4,16,9.8,2005
165,7,2005-05-23,ECF,MIA,DET,1,1,33:18:00,9,14,0.643,0,0,,2,4,0.5,1,4,5,0,0,3,2,1,20,14.6,2005
166,8,2005-05-25,ECF,MIA,DET,2,1,33:41:00,8,15,0.533,0,0,,1,5,0.2,2,8,10,1,0,2,2,4,17,10.4,2005
167,9,2005-05-29,ECF,MIA,DET,3,1,35:10:00,8,13,0.615,0,0,,8,12,0.667,0,6,6,5,0,1,3,4,24,17.9,2005
168,10,2005-05-31,ECF,MIA,DET,4,1,24:59:00,4,9,0.444,0,0,,4,10,0.4,2,3,5,1,0,0,2,4,12,4.3,2005
169,11,2005-06-02,ECF,MIA,DET,5,1,32:44:00,9,15,0.6,0,0,,2,6,0.333,0,5,5,0,0,0,3,5,20,8,2005
170,12,2005-06-04,ECF,MIA,DET,6,1,35:15:00,11,18,0.611,0,0,,2,6,0.333,4,9,13,4,0,5,6,3,24,18.8,2005
171,13,2005-06-06,ECF,MIA,DET,7,1,40:18:00,12,19,0.632,0,0,,3,6,0.5,2,7,9,1,2,3,5,5,27,18.6,2005
172,1,2006-04-22,EC1,MIA,CHI,1,1,37:15:00,11,16,0.688,0,0,,5,8,0.625,3,13,16,1,2,5,6,5,27,23.2,2006
173,2,2006-04-24,EC1,MIA,CHI,2,1,35:08:00,8,14,0.571,0,0,,6,7,0.857,2,5,7,3,0,3,2,4,22,18.5,2006
174,3,2006-04-27,EC1,MIA,CHI,3,1,24:29:00,4,8,0.5,0,0,,0,6,0,2,2,4,1,0,0,7,5,8,-4.7,2006
175,4,2006-04-30,EC1,MIA,CHI,4,1,23:57,8,13,0.615,0,0,,0,1,0,3,5,8,0,0,0,3,4,16,8.7,2006
176,5,2006-05-02,EC1,MIA,CHI,5,1,26:37:00,7,9,0.778,0,0,,2,12,0.167,4,6,10,2,0,3,3,4,16,12,2006
177,6,2006-05-04,EC1,MIA,CHI,6,1,38:33:00,13,24,0.542,0,0,,4,8,0.5,8,12,20,5,0,2,4,3,30,25.7,2006
178,7,2006-05-08,ECS,MIA,NJN,1,1,29:23:00,6,12,0.5,0,0,,8,14,0.571,4,6,10,0,1,1,4,5,20,11.9,2006
179,8,2006-05-10,ECS,MIA,NJN,2,1,28:51:00,9,17,0.529,0,0,,3,10,0.3,4,2,6,3,0,0,0,2,21,14.6,2006
180,9,2006-05-12,ECS,MIA,NJN,3,1,36:16:00,8,15,0.533,0,0,,3,5,0.6,2,7,9,3,2,0,4,4,19,12.9,2006
181,10,2006-05-14,ECS,MIA,NJN,4,1,35:07:00,7,13,0.538,0,0,,2,8,0.25,4,4,8,2,0,1,3,3,16,9.2,2006
182,11,2006-05-16,ECS,MIA,NJN,5,1,25:40:00,8,10,0.8,0,0,,1,7,0.143,1,2,3,0,0,0,4,4,17,6.5,2006
183,12,2006-05-23,ECF,MIA,DET,1,1,29:10:00,6,12,0.5,0,0,,2,4,0.5,5,3,8,1,0,1,5,4,14,6.4,2006
184,13,2006-05-25,ECF,MIA,DET,2,1,39:42:00,9,16,0.563,0,0,,3,5,0.6,4,8,12,0,0,4,4,3,21,15.4,2006
185,14,2006-05-27,ECF,MIA,DET,3,1,36:50:00,11,15,0.733,0,0,,5,10,0.5,6,6,12,0,2,0,4,2,27,22.1,2006
186,15,2006-05-29,ECF,MIA,DET,4,1,36:25:00,8,12,0.667,0,0,,5,15,0.333,2,7,9,0,1,1,3,2,21,13.2,2006
187,16,2006-05-31,ECF,MIA,DET,5,1,30:57:00,9,15,0.6,0,0,,1,5,0.2,3,3,6,0,0,3,5,3,19,9.4,2006
