Rk,G,Playoffs,Series,Tm,Opp,G#,Score,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-',Year
200,1,2017-04-15,EC1,CLE,IND,1,W (+1),1,42:44:00,12,20,0.6,2,3,0.667,6,9,0.667,1,5,6,13,3,0,3,3,32,31.7,5,2017
201,2,2017-04-17,EC1,CLE,IND,2,W (+6),1,42:16:00,11,20,0.55,0,2,0,3,6,0.5,0,10,10,7,4,4,8,2,25,20.1,6,2017
202,3,2017-04-20,EC1,CLE,IND,3,W (+5),1,45:13:00,14,27,0.519,6,12,0.5,7,14,0.5,1,12,13,12,1,2,3,4,41,35.4,13,2017
203,4,2017-04-23,EC1,CLE,IND,4,W (+4),1,44:44:00,13,25,0.52,1,3,0.333,6,9,0.667,0,10,10,4,4,2,4,1,33,26.3,4,2017
204,5,2017-05-01,ECS,CLE,TOR,1,W (+11),1,41:02:00,13,23,0.565,2,5,0.4,7,8,0.875,2,8,10,4,1,1,3,2,35,28.2,16,2017
205,6,2017-05-03,ECS,CLE,TOR,2,W (+22),1,36:36:00,10,14,0.714,4,6,0.667,15,21,0.714,1,5,6,4,3,2,3,3,39,36,24,2017
206,7,2017-05-05,ECS,CLE,TOR,3,W (+21),1,40:38:00,9,16,0.563,2,4,0.5,15,16,0.938,0,8,8,7,1,0,5,1,35,29.9,20,2017
207,8,2017-05-07,ECS,CLE,TOR,4,W (+7),1,46:11:00,11,22,0.5,5,12,0.417,8,9,0.889,1,8,9,6,0,1,6,1,35,25.2,7,2017
208,9,2017-05-17,ECF,CLE,BOS,1,W (+13),1,41:58:00,14,24,0.583,1,6,0.167,9,11,0.818,2,7,9,7,2,0,2,2,38,33.6,17,2017
209,10,2017-05-19,ECF,CLE,BOS,2,W (+44),1,32:48:00,12,18,0.667,4,6,0.667,2,4,0.5,0,4,4,7,4,3,1,1,30,32.2,46,2017
210,11,2017-05-21,ECF,CLE,BOS,3,L (-3),1,45:03:00,4,13,0.308,0,4,0,3,6,0.5,1,5,6,6,1,1,6,2,11,3.6,1,2017
211,12,2017-05-23,ECF,CLE,BOS,4,W (+13),1,38:16:00,15,27,0.556,1,6,0.167,3,4,0.75,0,5,5,6,1,1,5,4,34,21.5,7,2017
