Rk,G,Playoffs,Series,Tm,Opp,G#,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-',Year
205,7,2011-05-02,WCS,LAL,DAL,1,1,35:08:00,14,29,0.483,4,9,0.444,4,5,0.8,0,5,5,0,1,1,3,2,36,20.3,6,2011
206,8,2011-05-04,WCS,LAL,DAL,2,1,38:01:00,9,20,0.45,1,5,0.2,4,5,0.8,0,0,0,3,5,0,1,1,23,17.9,-8,2011
207,9,2011-05-06,WCS,LAL,DAL,3,1,37:58:00,8,16,0.5,0,3,0,1,1,1,1,3,4,6,1,0,2,3,17,12.6,-6,2011
208,10,2011-05-08,WCS,LAL,DAL,4,1,37:10:00,7,18,0.389,0,5,0,3,4,0.75,1,2,3,1,0,0,5,1,17,3.4,-29,2011
209,1,2012-04-29,WC1,LAL,DEN,1,1,37:14:00,11,24,0.458,0,2,0,9,11,0.818,1,4,5,4,1,0,2,4,31,19.9,26,2012
210,2,2012-05-01,WC1,LAL,DEN,2,1,39:37:00,15,29,0.517,2,6,0.333,6,7,0.857,2,2,4,2,3,1,1,3,38,28.2,4,2012
211,3,2012-05-04,WC1,LAL,DEN,3,1,41:06:00,7,23,0.304,3,10,0.3,5,6,0.833,3,3,6,6,0,0,6,4,22,7.9,-12,2012
212,4,2012-05-06,WC1,LAL,DEN,4,1,38:41:00,10,25,0.4,2,7,0.286,0,1,0,2,6,8,6,1,0,5,0,22,11.5,0,2012
213,5,2012-05-08,WC1,LAL,DEN,5,1,43:12:00,14,32,0.438,5,11,0.455,10,11,0.909,1,5,6,5,2,0,3,2,43,29.7,-6,2012
214,6,2012-05-10,WC1,LAL,DEN,6,1,37:03:00,13,23,0.565,1,4,0.25,4,4,1,0,2,2,4,1,0,3,3,31,20.3,-28,2012
215,7,2012-05-12,WC1,LAL,DEN,7,1,45:08:00,7,16,0.438,2,2,1,1,4,0.25,1,0,1,8,0,1,3,2,17,10.6,9,2012
216,8,2012-05-14,WCS,LAL,OKC,1,1,31:55:00,7,18,0.389,1,3,0.333,5,7,0.714,0,3,3,2,0,0,3,3,20,7.5,-27,2012
217,9,2012-05-16,WCS,LAL,OKC,2,1,42:46:00,9,25,0.36,0,6,0,2,2,1,1,2,3,4,4,0,2,4,20,10.6,5,2012
218,10,2012-05-18,WCS,LAL,OKC,3,1,38:58:00,9,25,0.36,0,1,0,18,18,1,2,5,7,6,2,0,2,4,36,27.6,11,2012
219,11,2012-05-19,WCS,LAL,OKC,4,1,39:46:00,12,28,0.429,0,2,0,14,17,0.824,3,5,8,5,0,0,2,1,38,26.7,-9,2012
220,12,2012-05-21,WCS,LAL,OKC,5,1,40:34:00,18,33,0.545,1,6,0.167,5,7,0.714,0,5,5,0,2,0,2,3,42,25.6,-14,2012
