Rk,G,Playoffs,Series,Tm,Opp,G#,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-',Year
82,16,2002-06-05,FIN,LAL,NJN,1,1,43:04:00,6,16,0.375,0,2,0,10,11,0.909,1,2,3,6,1,0,4,2,22,14.5,7,2002
83,17,2002-06-07,FIN,LAL,NJN,2,1,41:43:00,9,15,0.6,3,3,1,3,4,0.75,1,7,8,3,2,1,4,2,24,19.5,20,2002
84,18,2002-06-09,FIN,LAL,NJN,3,1,45:32:00,14,23,0.609,1,3,0.333,7,10,0.7,1,5,6,4,1,2,6,3,36,24.5,1,2002
85,19,2002-06-12,FIN,LAL,NJN,4,1,43:39:00,7,16,0.438,2,3,0.667,9,11,0.818,0,6,6,8,2,0,1,4,25,22.6,6,2002
86,1,2003-04-20,WC1,LAL,MIN,1,1,45:15:00,16,30,0.533,1,3,0.333,6,6,1,1,4,5,8,1,0,1,3,39,30.7,18,2003
87,2,2003-04-22,WC1,LAL,MIN,2,1,45:34:00,9,28,0.321,2,6,0.333,7,9,0.778,0,4,4,8,1,0,3,4,27,13.4,-26,2003
88,3,2003-04-24,WC1,LAL,MIN,3,1,50:38:00,10,28,0.357,1,5,0.2,9,10,0.9,3,4,7,6,1,0,6,1,30,16.1,-3,2003
89,4,2003-04-27,WC1,LAL,MIN,4,1,46:39:00,7,25,0.28,2,3,0.667,16,17,0.941,1,4,5,5,3,0,1,2,32,23.5,5,2003
90,5,2003-04-29,WC1,LAL,MIN,5,1,39:59:00,12,21,0.571,2,4,0.5,6,8,0.75,3,5,8,5,1,0,2,0,32,27.4,29,2003
91,6,2003-05-01,WC1,LAL,MIN,6,1,41:48:00,14,26,0.538,2,7,0.286,1,2,0.5,1,1,2,8,1,0,2,4,31,22,19,2003
92,7,2003-05-05,WCS,LAL,SAS,1,1,45:01:00,16,38,0.421,3,4,0.75,2,2,1,1,3,4,2,0,0,5,3,37,13.6,1,2003
93,8,2003-05-07,WCS,LAL,SAS,2,1,40:39:00,9,24,0.375,2,6,0.333,7,10,0.7,0,6,6,1,0,0,5,4,27,8.5,-22,2003
94,9,2003-05-09,WCS,LAL,SAS,3,1,43:20:00,10,23,0.435,2,4,0.5,17,19,0.895,2,2,4,4,1,0,4,2,39,27.1,23,2003
95,10,2003-05-11,WCS,LAL,SAS,4,1,40:16:00,10,24,0.417,1,4,0.25,14,17,0.824,2,5,7,3,2,1,2,5,35,24.7,-2,2003
96,11,2003-05-13,WCS,LAL,SAS,5,1,48:00:00,15,31,0.484,5,11,0.455,1,2,0.5,2,5,7,6,2,0,4,3,36,23.8,-2,2003
97,12,2003-05-15,WCS,LAL,SAS,6,1,43:26:00,9,19,0.474,2,5,0.4,0,2,0,0,2,2,6,1,0,7,4,20,6.7,-20,2003
98,1,2004-04-17,WC1,LAL,HOU,1,1,43:21:00,4,19,0.211,1,4,0.25,7,8,0.875,1,4,5,6,5,0,0,2,16,14.2,2,2004
99,2,2004-04-19,WC1,LAL,HOU,2,1,45:09:00,9,20,0.45,2,6,0.333,16,17,0.941,0,4,4,4,1,0,1,3,36,28,17,2004
100,3,2004-04-23,WC1,LAL,HOU,3,1,42:57:00,7,20,0.35,0,3,0,7,8,0.875,3,4,7,6,3,1,1,4,21,18,-12,2004
101,4,2004-04-25,WC1,LAL,HOU,4,1,50:14:00,7,21,0.333,0,2,0,4,5,0.8,2,4,6,5,2,0,3,4,18,9.2,-1,2004
102,5,2004-04-28,WC1,LAL,HOU,5,1,40:53:00,12,21,0.571,1,4,0.25,6,6,1,1,5,6,10,3,0,1,3,31,31.1,23,2004
103,6,2004-05-02,WCS,LAL,SAS,1,1,44:35:00,10,26,0.385,2,6,0.333,9,10,0.9,2,8,10,4,2,0,4,1,31,20.6,-7,2004
104,7,2004-05-05,WCS,LAL,SAS,2,1,42:19:00,7,17,0.412,0,1,0,1,2,0.5,2,3,5,8,1,0,2,4,15,10.8,-8,2004
105,8,2004-05-09,WCS,LAL,SAS,3,1,41:27:00,7,13,0.538,4,7,0.571,4,8,0.5,0,6,6,6,2,0,5,3,22,15.9,31,2004
106,9,2004-05-11,WCS,LAL,SAS,4,1,44:33:00,15,27,0.556,2,4,0.5,10,13,0.769,0,6,6,5,3,1,0,2,42,36.1,10,2004
107,10,2004-05-13,WCS,LAL,SAS,5,1,46:53:00,11,27,0.407,0,4,0,0,0,,0,4,4,5,1,0,5,1,22,7.8,0,2004
108,11,2004-05-15,WCS,LAL,SAS,6,1,43:59:00,10,20,0.5,0,3,0,6,8,0.75,0,7,7,7,1,0,4,2,26,18.4,11,2004
109,12,2004-05-21,WCF,LAL,MIN,1,1,44:29:00,9,20,0.45,0,1,0,5,8,0.625,0,3,3,6,3,0,3,2,23,15.7,8,2004
110,13,2004-05-23,WCF,LAL,MIN,2,1,41:16:00,10,24,0.417,0,4,0,7,10,0.7,2,3,5,6,2,0,2,1,27,19.1,-16,2004
111,14,2004-05-25,WCF,LAL,MIN,3,1,44:51:00,5,12,0.417,2,6,0.333,10,11,0.909,0,2,2,6,0,0,4,3,22,14.8,11,2004
112,15,2004-05-27,WCF,LAL,MIN,4,1,40:39:00,10,24,0.417,2,8,0.25,9,10,0.9,2,6,8,4,1,1,4,3,31,20.3,4,2004
113,16,2004-05-29,WCF,LAL,MIN,5,1,44:16:00,8,19,0.421,3,8,0.375,4,6,0.667,1,5,6,7,1,0,4,3,23,15,-1,2004
114,17,2004-05-31,WCF,LAL,MIN,6,1,39:12:00,6,17,0.353,1,3,0.333,7,11,0.636,0,0,0,4,2,1,0,3,20,13.2,10,2004
115,18,2004-06-06,FIN,LAL,DET,1,1,47:14:00,10,27,0.37,1,6,0.167,4,4,1,1,3,4,4,4,2,3,2,25,16.1,-12,2004
116,19,2004-06-08,FIN,LAL,DET,2,1,48:44:00,14,27,0.519,1,5,0.2,4,5,0.8,0,4,4,7,2,0,5,5,33,20.4,7,2004
117,20,2004-06-10,FIN,LAL,DET,3,1,44:42:00,4,13,0.308,0,4,0,3,3,1,0,3,3,5,1,1,4,3,11,4.4,-20,2004
118,21,2004-06-13,FIN,LAL,DET,4,1,44:46:00,8,25,0.32,2,6,0.333,2,2,1,0,0,0,2,1,0,3,3,20,3.9,-8,2004
119,22,2004-06-15,FIN,LAL,DET,5,1,45:34:00,7,21,0.333,0,2,0,10,11,0.909,1,2,3,4,1,0,3,2,24,13,-19,2004
120,1,2006-04-23,WC1,LAL,PHO,1,1,46:51:00,7,21,0.333,1,6,0.167,7,8,0.875,1,5,6,5,0,1,3,3,22,11.9,-7,2006
121,2,2006-04-26,WC1,LAL,PHO,2,1,44:58:00,12,24,0.5,1,1,1,4,6,0.667,0,10,10,5,1,0,4,4,29,18.1,2,2006
122,3,2006-04-28,WC1,LAL,PHO,3,1,45:40:00,6,18,0.333,0,3,0,5,6,0.833,1,4,5,7,4,0,4,2,17,12.4,11,2006
123,4,2006-04-30,WC1,LAL,PHO,4,1,38:30:00,9,14,0.643,0,1,0,6,8,0.75,1,3,4,8,0,0,7,5,24,15.2,-1,2006
124,5,2006-05-02,WC1,LAL,PHO,5,1,43:03:00,10,17,0.588,3,8,0.375,6,9,0.667,0,7,7,5,0,1,5,3,29,20,-19,2006
125,6,2006-05-04,WC1,LAL,PHO,6,1,52:06:00,20,35,0.571,5,8,0.625,5,6,0.833,1,7,8,5,3,0,7,4,50,33.8,-6,2006
126,7,2006-05-06,WC1,LAL,PHO,7,1,43:06:00,8,16,0.5,4,8,0.5,4,5,0.8,0,4,4,1,0,1,3,4,24,13.6,-28,2006
127,1,2007-04-22,WC1,LAL,PHO,1,1,43:11:00,15,33,0.455,4,8,0.5,5,7,0.714,0,5,5,1,0,0,2,3,39,20.1,-13,2007
128,2,2007-04-24,WC1,LAL,PHO,2,1,34:09:00,5,13,0.385,1,4,0.25,4,4,1,1,3,4,5,1,0,3,0,15,11,-23,2007
